,GARCH,LSTM MDN pireg,LSTM MDN dynamic,LSTM MDN l2,LSTM MDN embedded-small,LSTM MDN 3,LSTM MDN rv-data,LSTM MDN rv-data-2,LSTM MDN rv-data-3,LSTM MAF v2,LSTM MAF v3,LSTM MAF v4,LSTM MDN MAF Ensemble,Ensemble of everything,Winner
PICP,0.9850597609561753,0.9875166002656043,0.9948207171314741,0.9889110225763612,0.9796148738379814,0.9891766268260292,0.9873609012226954,0.9902459129001236,0.9864679214177772,0.9858565737051793,0.9815405046480744,0.9835325365205844,0.9871181938911022,0.9872922104684709,LSTM MDN dynamic
PICP Miss,0.009940239043824683,0.007483399734395713,0.00017928286852586517,0.006088977423638786,0.015385126162018592,0.005823373173970747,0.00763909877730462,0.004754087099876347,0.008532078582222824,0.009143426294820678,0.013459495351925588,0.01146746347941563,0.007881806108897771,0.007707789531529063,LSTM MDN dynamic
Mean width (MPIW),0.09595675014169644,0.09783587651116984,0.12858489997546427,0.10334557981674326,0.0873790703007671,0.10231816944917271,0.09653151997517688,0.10409147062430106,0.09373381393454291,0.09393457727380593,0.09292020415441973,0.0917943021229245,0.09777433610965386,0.09515672003171256,LSTM MDN embedded-small
Interval Score,0.1946581539313244,0.1810306772169344,0.16476181010592036,0.1735941860932488,0.2109938742168642,0.1755161162691101,0.1792505747036252,0.16855586202769696,0.18281836536899942,0.18912257512684238,0.20780769869013188,0.20286266810541714,0.18355933552239134,0.1846305103844507,LSTM MDN dynamic
Correlation (vol. vs. errors),0.29078520874204783,0.32680061346031714,0.31820597649470544,0.3270723419932221,0.30392698731623496,0.3274138455115472,0.33774636723359575,0.34589679540360474,0.3499653407385463,0.3334357408351546,0.3527882022242648,0.3345153314932933,0.33084110372080267,0.34505046018653973,LSTM MAF v3
NLL,-2.7030404609542478,-2.5935215189482976,-2.590202372237445,-2.5935009287508146,-2.5522656758570994,-2.7664210982952677,-2.7715342407430725,-2.7783275056257537,-2.780379026324552,-2.2062300981824015,-2.1103188644066995,-2.348306861682084,-2.3998758085653495,-2.5409069999682363,LSTM MDN rv-data-3
QL,-0.035667538121602844,-0.03647413300680794,-0.050971472394361256,-0.03909744643626021,-0.031160341872325983,-0.0382186059934709,-0.035875228164950236,-0.03959125345499198,-0.03437055263921957,-0.0345884810276722,-0.03286595190737684,-0.033164180433313054,-0.03655160062930258,-0.035245475894794355,LSTM MDN embedded-small
CRPS,,,,,,0.004801001005980744,0.0047772774596339775,0.0043094502066396345,0.0041128152661039545,,,,,,LSTM MDN rv-data-3
Lopez Loss,0.007907361094852359,0.006113421000581445,0.0021928544363734146,0.005050246173426733,0.009766950686906086,0.004518761129852438,0.006046780452448484,0.004518728162788126,0.005914143168365798,0.007641678601887741,0.010498159589241262,0.010365427710173823,0.007109968941139678,0.006778050145157003,LSTM MDN dynamic
RMSE,0.017386700625418628,0.01739250181375318,0.017370451522466298,0.017407266419345962,0.017532793840804785,0.017385021713320258,0.017418948665394337,0.017413102235892236,0.017415557120103675,0.017498262724508936,0.01912365723035617,0.017958706108851835,0.017426291767510208,0.017458238949442276,LSTM MDN dynamic
Sign accuracy,0.003054448871181939,0.5136122177954847,0.5205843293492696,0.5096281540504648,0.500996015936255,0.5099601593625498,0.4934926958831341,0.49050464807436917,0.49017264276228417,0.500996015936255,0.5108897742363878,0.5044488711819389,0.5129482071713147,0.498207171314741,LSTM MDN dynamic
UC Pass %,43.333333333333336,62.06896551724138,96.29629629629629,65.51724137931035,10.0,73.33333333333333,58.620689655172406,82.14285714285714,44.827586206896555,43.333333333333336,23.333333333333332,23.333333333333332,56.666666666666664,55.172413793103445,LSTM MDN dynamic
Ind Pass %,100.0,100.0,100.0,100.0,62.5,66.66666666666666,100.0,100.0,100.0,60.0,100.0,50.0,75.0,75.0,GARCH
CC Pass %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GARCH
CHR Pass %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GARCH
